,0
0000000011,6252
0111110011,1
1001000100,6261
0000011100,6614
0101011101,3
1101000010,4
0100000011,1
1110100100,2
0110101000,1
1100000110,3
0000000111,2
1000100110,3
1110111101,1
1111111001,1
0010111100,1
0000010001,2
1111100111,1
1110101100,1
1001010101,2
0001101101,2
0000001110,2
1001001010,3
0001001110,2
0111111011,3
0011000010,2
0111110100,2
1010100110,1
1001000101,2
1110110000,1
0101111111,2
0100001110,1
0000111111,3
0001000011,2
1110001100,2
0000101101,1
0111111101,2
0011001100,2
0101110010,1
0001101010,1
0101101001,1
0000110001,2
0101100000,4
1010000100,1
1100100000,3
0110111010,2
0100111110,4
0000101111,2
0011100001,1
0111001010,4
1100101100,1
0101101000,1
1011001000,4
0010001110,3
1010101000,2
1000011011,3
0110111101,1
1101011101,2
1111110010,1
1100110011,2
1110001101,2
0110001110,1
1101010010,3
0110111110,3
1100010001,3
0011110000,1
0100111000,1
1101000111,1
0001010101,3
1101101100,2
1010101100,1
0010111000,2
0100010110,3
1111010101,3
1000010010,2
0100011101,2
1000111101,1
1010000011,3
0011000111,1
1010000111,1
0110000010,2
1010110001,1
1101111000,3
1111010001,1
0100001000,2
1101011000,1
0000101011,2
1101011011,3
1001000001,2
0001001101,3
0001101001,1
1011101100,2
1111110100,1
1100011101,1
0001000010,1
1011101000,3
1001011100,2
1001100101,1
1110011000,3
0100000101,1
1000110001,1
0101111100,1
1110000001,2
1001000011,3
0001001010,2
0111101100,1
1001111110,2
0110000101,1
0010111111,3
0011010100,2
1101011100,1
1000110101,2
1110001111,1
1010101010,1
0101010000,1
0101100111,4
0000011001,2
0001100111,3
1011100110,2
0010101101,2
1111110000,2
0010101100,2
0001011111,1
0110110101,3
0100000110,2
0111010101,1
0010110001,5
1010010010,1
1000101101,2
1000101110,1
0101000111,3
0111001101,2
1010001100,2
0100011011,4
0000100001,4
1000111000,2
0001010001,1
0101111001,3
0111011000,1
1011100000,3
1111100001,1
1100001111,1
1111001010,2
0000001101,3
1000110000,2
0110011001,2
0011000011,1
0101110001,1
1100001000,2
1111001110,1
0010000100,1
0011010101,1
1011011001,2
1000011101,1
0101011110,1
0101001001,2
0011100100,1
0111011101,1
1010001001,1
1111011101,2
1111100101,1
1001100110,2
1110010000,1
0000010011,1
0001010110,1
1000010011,1
1011110100,5
1000101111,3
0000110100,1
1110000010,1
0101001011,2
1000100111,1
1001101111,2
1101101001,2
1011010100,1
0101010100,1
1101100100,1
1011110111,2
0000111110,3
0101111010,1
0110101010,3
1010111000,1
0100011010,2
0010111011,1
1101110101,1
0110011011,2
1110101001,4
1100100010,1
1111100000,1
0100011001,2
0101111011,1
1010010111,2
1101100000,2
0000110011,1
1110111001,3
0100000100,1
1001110100,2
1101010011,2
0010011001,1
1011011011,2
1110011111,1
1011110101,3
0101000001,2
1101110001,1
1101100001,1
0100111111,1
0011111000,2
0000101100,2
0011101111,2
0011111101,2
0011011110,1
0101010110,2
1110010100,3
0110100001,1
1000100100,4
0110100111,1
0000110101,1
0001101110,1
1010111101,2
0000010110,2
0011100110,3
1101010000,1
1001101100,2
0101001010,1
1011101101,2
1100100001,2
0101111000,2
1100100111,4
0101110110,2
1011111011,2
0100111101,1
0100001111,1
1110101101,3
1111001001,1
1000100101,2
0001011001,1
0100111010,2
0110101101,1
1100011001,1
0011110111,2
1001111111,1
0110011111,2
0001110100,1
0110000100,1
1000011000,1
0011010110,2
0010011000,1
0011010011,1
0001110110,1
1000000001,2
0001100000,1
1101111110,2
0110010000,1
0001110010,1
1011001100,3
0100111011,1
0001100101,3
0010011100,1
0000100111,2
1101011010,1
0111000001,2
1011000010,1
1001010010,1
0101100110,1
0110101100,2
1111110101,1
1100101010,2
1100111011,2
1110100101,1
1101110100,1
0000100101,2
1001001111,1
1100011010,3
1111001101,1
0100101110,2
1101100101,2
0101110111,2
1111010011,2
0100010100,1
0110010010,2
1010100011,1
1100111010,2
1011010111,2
1010110111,2
1010011010,2
1100110000,2
0100001010,2
0110000001,2
0000100110,2
1001101001,1
1001010110,3
1000110111,1
1100101110,1
0111110000,2
1001110010,1
1111101111,1
0110001011,1
0100010001,1
1010001101,1
1111111010,1
0101110101,2
1001110001,1
1111000010,2
1001111010,2
