,0
0000011100,6352
1001000100,6254
1111101110,1
0000000011,6414
1110000001,2
1010000010,2
1111110011,2
0011001100,2
1000111111,2
0001000101,3
0111000100,2
0010111010,1
0111001111,3
1110100011,1
0000000100,2
0011011111,3
0001101110,1
0000011101,2
1111100011,1
1101100000,1
0110101100,2
0010001100,2
1111111111,1
0110011100,1
1010100111,3
1001100101,1
1110101110,2
0011001011,1
0011110111,1
0110011010,2
0001001001,1
0001100011,1
0011110101,2
0000101100,2
0011000101,2
1110001100,1
0000110010,3
1000101000,2
0101001100,1
0000011000,2
1010100000,1
1010100001,2
1100000111,2
1000001100,1
1100011100,1
0111011001,2
0101111011,5
1011101100,2
1111011001,1
0010010010,1
0101001000,1
1011100011,1
0100010010,1
0111000110,2
1101111011,2
1100110001,4
1000011001,1
1101000011,1
1001110011,3
0101100111,1
0000010101,1
0110110101,2
1100110101,1
1101110101,2
0001100110,2
0101111111,2
0010011010,2
0110110001,2
1001101111,2
0110110111,1
1000011100,1
1011101111,1
1101011000,2
1100110100,2
1111100010,2
1100101100,1
0110111110,3
0111001010,1
0111100111,1
1101000100,2
0001100010,4
0100011010,1
1110111000,2
0101101111,2
0101100101,2
0010101001,2
1111001101,2
1101100001,1
1010000011,1
1001110000,3
1110101111,2
0101111100,2
1011001011,1
1100001100,1
0000101011,2
0101001111,2
1010110110,1
0110100101,3
0010110110,1
1010101110,3
1010000110,1
0100011100,1
1101010011,2
0010010101,2
1000101111,1
0001111100,3
0110000010,2
1100011111,2
1001011011,3
1110010100,2
1000111000,1
0100010100,2
1011011001,3
0010101111,4
0101111001,4
0000101110,1
0100010101,2
1101110001,1
1010011000,1
1101101010,4
1110101100,1
0000110110,2
0001111101,1
0100101001,1
1100010001,1
0111101101,1
1010100100,3
1000111011,2
1110111101,4
0001100000,1
0101100110,2
1111111010,2
1100111011,2
0101110000,2
0111100001,1
1101010001,1
0101010110,2
1011110101,4
1010110100,2
0010000110,2
0110011110,2
1101010100,3
1100010010,1
0111011110,1
0011000100,2
0101101010,2
0010101101,1
0100101111,1
0101001001,2
1001011000,4
1000100000,2
1011011100,2
0011101110,1
1100111001,1
0011100100,2
1100001001,1
1010001011,1
0100111000,2
1011101000,1
1111101001,2
0010011011,1
0111111001,3
1110100010,1
0111111101,1
0111100100,2
1100000010,2
0001101001,1
1001011010,2
1001101101,3
0000101010,1
0000111110,1
1111000011,2
0110010101,4
1110001011,1
0110111011,1
1111010011,2
0110100010,2
1101011011,1
0001010001,1
0001001100,3
1111010111,1
0101111010,1
1001111111,2
1011000011,2
0011000111,2
0001101010,2
0001000111,1
1100000101,1
1011110110,1
1011100111,2
0100101011,2
0100001100,2
1010000111,2
1110111010,2
1101001001,1
1011101011,2
1001111101,1
1011111010,1
1111011011,1
1000111001,3
1110000000,2
0011001111,2
1011100001,6
0101111000,1
0100110101,2
1110100101,4
1111110101,1
0110100001,1
1100100010,2
0100001010,2
0110001101,2
0001001101,2
0000001000,1
0111110111,2
1111101011,4
1111000000,2
1001110101,1
1011000010,1
1110000111,1
1110001101,1
1100001101,3
0000010001,2
0001011110,3
1011110100,1
1001001011,3
0011110000,1
0000000110,1
1101011010,3
0001100101,1
1000110100,1
1101001000,2
1101111101,2
0001000000,2
0010001101,2
1111111001,2
1110001000,1
1101111110,1
0101101101,2
1010011111,3
0110010010,2
1111000100,2
1110110011,2
1101001101,1
0101110101,2
0010011000,2
0011110100,2
0001011010,2
1000010101,2
0001000010,2
0111111100,1
0100011001,1
0101010001,2
0111001101,3
1100000000,2
0111111110,2
0001110101,1
1010110101,2
0110010111,2
1010111010,2
1000110010,2
0010011111,3
0010110000,3
0010000011,4
1000101101,1
0000011011,1
1000100101,2
0101011111,2
1100100111,2
0100010000,2
1011111100,3
0010011100,2
1010110011,2
1001001001,1
1011010000,2
1010001001,1
0001111011,2
1110101001,1
0111000101,1
1001100110,1
1100000110,4
1111110001,2
1011111000,1
1000110001,2
1100101010,1
1100111111,1
0111101100,2
1001111100,1
1001100100,1
0101011010,2
0110100000,1
0010010100,2
0011010001,1
1111110100,1
1010001010,1
1100010110,1
0111110001,1
1111111011,2
1001111000,2
1011001000,1
0110001100,1
0001010110,1
0010111110,2
0001010011,1
1001110001,3
1100011001,1
0100010011,2
1010011001,1
1011000101,1
0111100110,1
1010011110,1
0101101011,1
0100000000,2
1110011000,1
1111010001,1
0010100111,1
1011000111,1
1010010001,1
0011111101,2
1010101000,1
1000011111,1
1110100000,3
1010001100,2
0010000010,1
1011010001,2
1101100101,2
0011011000,1
1001000110,1
1100100101,2
0011011011,2
1010000000,2
1101101011,1
0011001110,1
0010100011,2
1011000100,2
1001111110,3
0110001001,1
0100001011,1
1010111000,2
0000010011,3
1011100101,2
1010000101,1
0110110100,1
0000111101,2
0001110010,1
1111110111,1
1000100110,1
1101100100,1
1001111010,2
1110001111,1
1101110110,2
0110101000,2
1011101001,2
