,0
0000000011,3321
1110010000,9
1111101010,3268
0000011100,3217
0010010110,3
0100011110,6
1100110000,3122
0010111011,5
1101010000,4
1001000100,3173
0110111110,3
0011101010,5
0110110101,7
1000000100,4
0001100100,4
0111000111,4
1101011110,2
1111100100,6
1111110011,3
0010011101,3
0011110110,1
0110011001,4
0100001000,4
0010000101,2
1000011101,4
1100110110,3
1111001101,6
1111001010,7
0111011111,6
1100100111,8
0111110100,6
1110001011,4
0000000100,4
1100110111,8
0111111110,7
1110001000,4
1000010000,9
1110011010,4
0100101010,5
0010010001,3
0001111100,7
1101011001,5
0000100011,2
0001101001,6
0101110100,5
0010000100,3
1000110111,4
0000010001,2
1011110100,3
1101101111,2
0001001100,3
0001100110,10
0000001100,5
0011100000,5
0011001111,5
0110000000,2
1101111001,2
1000010101,4
0101111001,5
0101000001,5
1011001100,5
0010000001,4
0100011000,4
1001010010,8
1000110010,5
1001010110,8
0001101110,4
1100011110,2
0011011001,2
0001100010,5
0011010111,3
1000010001,2
0100110101,5
0001111011,4
0111011001,7
1000110110,3
0000000111,5
1010110111,4
0001011001,8
1100011011,11
1010001100,5
1010010010,4
0001011011,5
0111001011,3
0001001001,6
1010111010,4
0000100000,6
1010000101,6
1001111101,2
1101011111,1
1111010010,3
1001111000,3
0111100001,2
1000110001,2
0001011101,5
0011011110,2
1001001011,6
1111010111,6
1011011110,5
1101001011,3
0100000010,3
1111001110,4
1101011100,3
1100101010,6
0100000111,4
0101001111,5
0001111000,5
0000101000,3
0000010111,5
1101010011,3
0010100001,5
0011111011,3
1001100101,2
1100111111,3
1101100111,2
0001000100,6
0111000101,10
1010011000,4
0111111010,4
1001110110,7
1000101111,6
0010101110,4
0010100000,5
0011110100,4
0111111111,3
1011101101,2
0111101101,6
1110101111,6
1011100110,7
0010100111,5
1111011011,4
0111101100,3
1010011010,5
0011110101,8
0111111000,7
0101100000,8
1110111101,4
1011011100,3
1111010100,6
0100101110,4
1110110001,3
1110011001,5
1000110000,9
0101100101,3
0111010111,5
1000011010,6
0110101010,6
0001100111,3
1100110101,6
0010101111,4
1111110110,4
1111000111,7
1100001000,4
1001110011,6
0110101110,5
0000000001,3
1111000010,2
1110101110,6
0101001100,6
1000101001,4
1001111100,4
0111110101,10
1110001001,5
1001010101,4
1010110100,4
1001011100,5
1110010010,4
0011111100,2
1101000100,5
1101111010,2
1110000000,4
0000011000,4
0101111011,2
1010100110,2
0000111011,3
1000100001,4
1110001010,4
1101101011,2
1110100100,4
1000001001,6
0110100001,4
1111111110,4
0110000101,7
0011000100,4
1110110010,4
0010000111,4
1000001110,6
0111111100,1
1100010000,6
1110111001,4
0110101011,4
1001100000,5
1010111100,2
0110110110,4
1010001111,3
1100111110,8
0000101010,3
1010010011,7
0100101001,5
1110001101,3
