,0
0100111000,1
0000000011,9828
0000011100,9729
1000110100,2
0001100100,2
1100001010,1
0100010111,1
1111001011,1
1000000010,1
1000001110,1
1111100100,1
1000110111,1
0101110111,2
0001101110,1
1100110101,1
0111011111,2
1111110101,1
0110001100,1
0100110000,1
0001101001,1
0000110001,1
1110000101,1
1110010010,2
0101011100,2
1010111000,2
1100111010,1
0111100000,3
0000000110,1
0100100000,2
1001100100,1
1010011001,1
1000011101,1
0011001011,1
0101111100,1
0101001101,1
1000000011,1
1001010110,1
1100110111,1
0011010100,1
0110011100,2
1011110111,2
1001100000,1
0110100000,1
0111101001,1
1001001000,1
0111000111,1
0111010001,1
0010000110,2
1110010001,1
1100000100,1
0110111000,1
1100001011,1
0111000100,1
0010011010,1
1101001001,1
1111101101,2
0010101010,2
1011001000,2
1000111011,1
0100100110,1
1010100110,1
1100011111,2
1111001110,2
1010110100,1
1010001001,3
0010010001,1
1010001000,1
0011100001,1
0011100100,1
1101011011,1
0111101000,2
0010111101,1
1101001010,1
1010010111,1
0111101011,1
0010110101,1
1101111110,1
0111010110,1
0100000011,1
0011110000,1
0011000110,1
0110001011,1
0011101010,1
0110001111,1
1110100011,1
1011111111,1
0001000111,2
1100001100,2
0011111101,1
1100101010,1
1101110001,2
1010101000,1
1111010011,1
0110101100,1
1110101011,1
0010000000,2
0010110000,3
1010001100,1
0001011011,1
0010001100,1
1000010100,1
0010100101,2
0001000101,1
1111100001,1
0010101110,1
0110101000,1
0000101001,2
1000101000,1
0011100000,1
1011101001,1
1001111011,1
1100000011,1
1011100010,1
0111011110,1
0010011011,1
0110011000,1
1011101101,1
1111001010,1
0000101010,1
1000100011,1
0011010001,1
0111101111,1
0000111000,1
0010010101,1
1001101000,1
0100110101,1
0110100001,1
1001000101,1
0011111010,1
1110111010,1
0010110001,2
0100011011,1
1110100010,2
0111010101,1
0011110110,2
0001000110,1
0101110100,1
1101111111,1
1001101010,1
1101011111,1
1011111011,1
0011111001,2
1101010100,1
0101000101,1
0000100001,2
1110000011,1
1101011000,1
1000110000,2
0010111110,1
0100111111,1
1100100000,1
1001001111,1
1110001011,1
1100101100,2
1000001111,1
1101001110,1
0101010011,1
0111001100,1
1001010010,2
0100001000,1
1010101100,1
0110010110,1
1001011001,1
0101011011,2
0100111010,2
0011101110,1
1100010001,2
0000011001,2
0100010001,1
0110111110,1
1100101101,1
0011001111,1
0101010010,2
1110011001,1
1001011111,1
1101001100,2
1001110011,1
0001110011,2
1001010111,2
1110101100,1
1000011011,1
1010100000,1
1110100001,3
1011000010,1
1001111000,2
0101101010,1
1111000011,1
0000011010,1
1000111111,1
0101011000,2
1101100100,1
1101001000,2
0010010011,1
0100111001,2
0110101110,1
0011000001,1
0010000011,1
0111110111,1
1011111101,1
1010001010,1
1011111001,1
1010010101,1
0000001100,1
1010111111,2
1101101010,1
0100000111,2
0100101110,2
0100011010,1
0100000000,1
0111001001,1
0100110100,1
1100110010,1
1010011111,2
1100001110,1
1111111000,1
1101001111,1
1111001111,1
0000111100,1
0011010010,1
1001111111,1
0101011111,1
0110101111,1
1101100110,1
1011110110,1
1110011000,2
0011001001,2
1001000001,1
0011100010,2
0011000010,1
1011001110,1
1000100000,2
0001110100,1
0011100111,2
0101000100,1
1101010111,1
0111000011,1
1100110001,1
1010110001,1
0111100111,1
1010101011,1
0010110110,1
1010110010,1
0010100000,1
0010010000,1
1011000011,1
1011101010,1
0001101010,1
1010100111,1
0010100001,1
1010111010,1
0111110011,2
1110110110,1
1100110011,1
0100101111,1
1011011001,1
1010101111,1
1100100110,1
0101001011,1
1100000010,1
1110011010,1
1111011111,1
0110010101,1
1101011100,1
1110110011,1
0000001010,1
1011011011,1
0011010101,1
0111111000,1
0110111100,1
1000110010,1
0100101011,1
0011101101,1
0001001111,1
0001010001,1
0011111011,1
1001011000,2
0110001001,1
1001111110,1
1011011000,1
0111111110,1
0010110111,1
1010011000,1
1101000000,1
0000101101,2
0001110001,1
1111100010,1
0101000000,1
0101110000,2
0111010100,2
0111100110,1
1111111101,1
1111000001,1
1010010011,1
1001101111,1
0010111011,1
1011111100,2
0111111001,2
1100000000,1
0010101101,1
1000000000,1
1010010001,1
0100001001,1
0011110010,1
0001111000,1
0010001010,2
0111001000,1
0000100101,1
1001100101,1
0000100011,1
1000110110,1
0100110011,1
1111110000,1
0010111001,1
1110001010,1
0101000011,1
0100010000,1
1000101100,1
1001111101,1
1001001101,1
1110000001,1
1011101000,1
0101011101,1
0011011011,1
1001100111,1
1110101111,1
1100101111,1
0000110111,1
1011011010,1
0011110100,1
1010000010,1
1100001001,1
0001001110,1
1001110000,2
0001100000,1
1010011011,2
0100001011,1
0101010101,1
0000101011,1
0001000001,1
1100011010,1
1111101111,1
0101010111,1
1010111110,1
0101000001,1
1001001100,2
0101101111,1
1101110011,1
0010111000,1
1010001111,1
1011011111,1
0110000001,1
1000001101,1
1000101101,1
0110100101,1
1100011110,1
1001110110,1
1010010110,1
1010000001,1
1010100010,1
0000010011,1
0010101000,1
0001101101,1
0110001101,1
1111111110,1
0100100111,1
0000000000,1
0110000011,1
1001000111,1
0110010010,1
0101111111,1
0101101100,1
1001101101,1
0000100100,1
1110010100,1
