,0
0101110001,2
0000000011,9329
0000011100,9551
0011000001,3
1101100101,1
1001001000,2
1011101010,2
1001110100,1
0001111100,4
0110010000,2
1110000001,4
1010000100,1
1110100111,1
0010001100,1
1100101000,2
0001000100,4
1101001010,3
1011100010,2
0010100110,4
1110011111,3
1101000101,1
1110000101,4
1100010110,4
1101000111,1
1000010101,1
0001011110,2
1101111111,4
0010001001,5
1100111100,2
1001000100,2
1001001111,2
0011001000,3
0010001011,1
0001101010,3
0101111101,1
1011011000,1
1110111001,2
1111010110,3
0101111010,2
1100111011,1
0011011100,3
0110001000,3
0001000001,3
1000010011,3
1011010110,3
0111101100,3
0110010111,2
1001011101,1
1000100110,4
0011011011,2
0011010000,2
1001010000,1
0111011100,3
1000001011,1
1011111111,1
0010000010,3
1011010100,2
1100101101,3
0010001111,1
1100011101,1
1110110101,3
0010100011,2
0011101111,1
1001001011,1
1111110010,3
0100100110,4
1101110100,3
0111101010,1
0111100010,2
0110111011,1
1001001110,2
1100101110,2
1000000011,3
0010010000,5
1001110110,6
0111010001,1
0110011001,4
0111000001,1
1110101111,4
1011101101,3
0101010111,2
0001111101,1
0010000011,4
1001011111,2
0000100101,1
0010000110,2
0011010100,2
0101001000,3
0110010110,2
0110001010,2
0001010011,4
1111101111,1
0000011110,1
0001111111,2
1111010010,3
0001001011,1
0111001100,1
1000011110,5
0001001010,1
0000001101,1
0000100111,3
1010001101,3
0110010010,2
0110110101,1
0110101110,1
0111101101,2
1100100011,1
0110100111,3
0100111101,2
1100001100,1
1100010001,1
0011000110,3
1000011011,4
0011000000,1
1111110001,2
1000000001,1
1101101110,1
0010100101,4
0011000101,3
0011110110,1
1101110101,3
1001000010,3
0110000000,2
1010001001,1
0001110000,2
0110000011,1
0110101011,2
1000101110,3
0111001010,6
1110011100,4
1110100001,4
0101011010,1
0000010001,4
1111111001,2
0110011111,1
0000111110,2
0010011110,4
1001010100,3
0101100011,4
1000101011,2
1011000101,1
0001111010,1
1010110101,2
0011000111,3
0100101111,2
0010011101,1
1110011110,1
1001100010,1
0100110001,2
0001010111,4
1111010011,1
1111010111,2
0100111011,2
0100100010,2
0000010111,2
1000011000,1
1010011100,2
1010100101,3
0011110101,1
1001111100,2
1101110001,3
1100001001,2
1111000011,1
1100110100,3
1110000110,2
1000110001,2
0100100100,1
1001100100,1
1010111111,2
0000010110,1
0100010000,1
0111110100,2
1001010111,2
0100111110,2
1100111111,1
1011100100,3
0110101100,2
1001001010,1
1011001000,1
1011001001,1
