,0
1011100100,14
0101111000,14
0000000011,2201
1101000011,19
1001011100,10
1100100010,12
0000011100,2171
0100101001,13
1111001001,31
0010000011,11
0000111100,20
0011100001,12
1001101101,16
0110101110,17
0101100010,10
1011111011,14
1101111101,16
0000100101,14
1110010110,12
1100010011,18
1111001101,14
0101000111,12
0010000001,20
0011110011,15
1000000000,16
1001000001,14
0011101011,16
0100100100,11
0111011101,19
1001010011,23
0011110000,21
1100011110,18
0101000011,9
0001111100,11
0110100011,18
0011111000,17
1100000100,12
1011010101,15
0101111001,18
1011110110,21
0000101010,18
0110111011,9
0110110100,10
1100101001,25
1011010001,19
0000010001,19
0100001101,18
0111110001,18
0111011100,22
0011100010,11
1100011100,13
0101010100,14
0111000001,17
0110001001,18
0001101111,16
1010000111,22
0010111001,18
1001111100,17
1000001100,17
0000100001,20
0011011010,14
1001000101,15
0001000111,16
0010010001,19
0100110111,17
1001111101,19
0000010111,11
0000110101,14
0110110111,16
0101001001,13
0000001110,18
0101011010,19
1011100000,11
1110100101,16
0100011111,25
0000110001,11
0100100000,14
1011101101,15
0100001111,15
1011010000,13
0101011111,15
0000000111,16
1001001110,14
1011001001,18
0111001111,18
0111001110,18
1110110011,13
0000000110,22
1000011100,10
1101111110,15
1100000000,17
1101001000,18
0011101001,18
1101000110,14
1100111010,14
0000010010,15
1000001011,18
0010100100,17
0101111100,17
0001110111,15
0111110111,20
1001010100,14
0000011000,11
1101010011,21
1101101110,18
1111011000,20
0001101100,11
0000000010,17
0010011010,18
1100110100,11
1010010000,11
1100010101,15
0110001010,12
1101100011,13
0100000101,19
0010001001,12
0101010110,22
1010110000,14
1011000010,19
0001101001,20
1110110101,8
0010000100,21
1100111111,14
0001001001,19
1000011000,17
1101001001,18
1110000101,20
1101110101,14
1010101010,10
0110111111,15
0001000001,13
0000011011,12
1011011101,20
1111110000,13
0111010111,10
1000000111,20
1111110010,21
0100110010,19
1111101011,12
1110001000,16
1000101010,17
1100100100,8
1001001000,16
1010000010,15
1110100100,24
1100110101,17
1101100101,10
1111111010,18
1001110001,16
0111101000,14
0100000011,14
0010010010,21
1010111100,18
1010100101,15
0100101000,8
1110001011,14
0111000100,15
0111000010,15
1000011110,22
0101110111,17
0101110100,19
1100011000,19
0011111100,13
1000011010,18
0110111000,17
0011001010,13
1111101000,19
1101111100,20
1010000011,16
1010001010,19
1100010100,20
1110100110,21
1001111000,18
1110110010,15
1001001011,24
0000100000,11
0011101000,16
1101001111,16
0100001011,14
1101000111,13
0000111000,15
0011100000,20
1110100010,17
0110101010,11
0101100011,12
1110100011,10
0011110010,23
0000111011,20
1111001111,22
1111010001,20
1001110101,18
1100101110,12
0101110010,16
1100000110,22
0001110100,16
1101001101,16
1011110111,20
0101001111,12
0100110100,20
1111100111,13
0001010100,21
0110111001,22
1010101110,7
0110111010,22
0110010010,19
1011110000,20
1101010100,15
1111001000,17
0011110100,17
0100011011,15
0111111000,17
0101000000,20
0110101111,22
0100110011,19
0001011100,13
0010001000,13
1011011010,17
1000100100,16
1010010111,13
0000100010,12
1011101111,16
1000101100,15
0011001001,17
0110010011,20
1011001010,15
0101110101,23
1011010111,17
0101101000,12
1010100001,15
1101000101,16
1101010010,13
0000101110,15
1110011010,17
0111000110,13
1000111010,14
0111110000,11
0001110011,13
1111110100,10
0101000101,15
0000001010,23
0100111000,15
1011110100,21
1010000001,17
1100110010,17
0100101010,15
1000111110,10
1100001101,20
0110110000,16
1110100001,15
0100000001,15
0100010100,14
0111000111,13
0111110100,22
0110011100,17
0110111100,16
1101010101,17
1110010011,16
1101111010,20
0011010101,16
0011001110,13
0010010111,12
1011011111,9
1011101011,14
0001011001,17
1001011101,23
1100111101,14
0010001100,15
0011101101,10
1101101011,15
1100101011,22
0100111010,19
1100110111,14
1001110011,12
0110010001,9
0111100101,20
0100110110,19
1101010110,14
1100000111,13
1000100111,14
