,0
1100110000,4701
1001000100,4702
0000011100,4720
0000000011,4606
1101111110,4
1010100101,1
0110011110,4
0101011101,2
0100110110,2
0000110111,4
0001110100,3
1110110000,2
0111111011,4
1111100001,2
0100010100,1
1101100110,2
0100110111,1
0100110011,2
1000010111,1
0001000111,3
1111010111,1
1010011010,1
0110111111,2
0010100010,1
0111000100,3
0100010101,2
1011011110,2
1101010001,3
0111111111,2
1011111110,3
1100101010,3
1001100100,1
0111110000,2
0110110110,1
1010110111,1
0000001110,2
1001011011,2
0101001111,3
0100100110,1
1100100111,2
0111000101,5
0100100111,2
1111111011,4
0111101001,2
1100001111,3
1001101110,2
0101101001,1
0000010010,4
0000110101,2
1111100000,1
0000101001,1
0100101010,3
1100111110,1
0000111111,2
0011011101,4
0001100010,3
1011010110,1
1111111101,1
0010110010,3
1000110011,2
1000011011,2
1100001000,2
1100010100,2
1001010011,3
0111010010,1
1100111001,3
0011100111,2
0111011000,1
1010110110,2
1010111101,1
0111100111,1
1110100010,5
0100101000,2
0011110010,2
0001001110,3
0100110100,2
1000010010,4
0001010110,3
0000010100,3
1010000001,2
0100001111,3
1010001100,2
0100010001,4
0110010101,2
0110001111,2
1000100101,1
0011010111,6
0011111000,3
1011010111,5
1011000110,2
1001101011,1
1000110101,1
0010101010,1
1101000101,2
1001101001,3
1100101011,3
1101011100,2
0001111110,1
1100010010,3
1011001001,2
1011100111,4
1101010110,4
1110100101,1
1111011100,1
1100010000,3
0000001011,3
0010011101,3
0100111110,1
1000101101,1
0101100111,2
1010101100,1
0100111011,2
1111010011,2
0101100100,2
0100110001,2
0100010110,2
1111111110,4
0100001011,2
1111101000,3
1010110001,1
1110111101,2
1010011100,1
0101111110,1
1011010011,1
0011000010,2
0000100000,1
0010111110,2
0011100110,1
1111100011,1
0011100100,2
1100000111,3
0001001111,2
0101011100,3
0011100101,2
1000110100,2
0001010010,1
0010001001,2
1001010000,1
0101111100,2
1110011100,1
0000010110,1
0100001010,3
0001010011,2
0010010000,2
1101011111,1
0011011000,1
0011001011,2
1010100001,3
1111010110,1
1010111001,2
0011111011,2
1100000001,1
0111011111,3
1100110111,3
1001100001,4
0110001010,2
1000100010,2
1110101011,1
0011010010,3
1001111001,2
1111110100,2
1001010010,4
0010101001,3
1001100011,2
0110101001,2
0110000000,4
1000010110,1
1100110001,1
1100000100,2
0001011010,1
1110110101,4
0001000101,4
1000001011,2
1001111000,2
0111100000,3
1001010001,2
1110011110,1
0111001010,1
0001001011,3
1100010011,1
1110111011,3
0010011100,2
1000111010,1
1010110000,3
0000110011,4
1010010100,4
1111000011,2
1111101001,2
1101101000,1
0111010011,3
0001100001,2
1101101110,1
1101110000,3
1001110101,1
0001111011,4
0100111010,3
0100010111,1
0110011111,3
1100011011,1
1000011110,1
0111010101,2
0111111101,1
0111000000,2
0000000100,1
1011011100,2
0000100011,1
0010010101,3
1011100001,1
1011101010,1
1111000100,2
1101101101,2
0001010100,3
1111001110,2
1000000111,2
1011101101,1
1010001101,3
1000110110,2
0100011100,1
0111010100,4
1110011101,2
0111100101,1
0111101011,4
0011001010,2
1101011001,1
1011110101,4
1010111011,2
1000000001,1
0110110100,4
0001111001,3
1001110010,1
1101110001,2
1001100110,1
0111111010,1
0101111101,1
0000001000,2
1001000010,3
0110100010,2
0110100101,1
1111010010,2
1001100010,1
1011001010,1
1100001110,1
1110001001,2
1000010001,1
0001110001,1
0100110010,1
0011011100,3
0101011001,1
1010001000,3
0101101100,1
1101100001,2
0100100000,1
0111101101,3
0101001010,2
0001000110,1
1001011111,3
0110101100,1
1101111011,2
1110110001,3
1101001001,1
0101101000,1
0010010100,3
0000110110,2
1111101010,1
1110110111,4
0011010110,5
0000000110,2
0100111101,1
1000000010,2
0000010000,2
0010100100,1
0110101000,1
0110101111,5
0000100010,3
0100001100,2
0011110011,2
1000011000,3
0001111101,1
1111000110,2
0011000000,2
0110100000,3
0000001111,1
1011011011,1
0010111101,1
0000110010,1
1000000100,1
1011111011,2
1110001000,2
1010111010,1
0100010010,3
1101001000,3
0110001000,1
0001010101,1
0000111011,1
1011110001,1
1100010101,3
0101000100,3
1110100100,2
0010000101,2
0100001110,2
0001011001,1
0111000111,1
1110001100,2
1010001110,1
0111010000,1
0001001000,1
1011100000,3
0110011000,2
0010100111,3
1010110101,1
0100000011,2
1101111000,3
1010101110,1
1110001111,3
0110110001,2
1010010101,1
0100011011,1
1100001011,2
1101001111,3
1111001101,3
1110001011,1
1101011101,3
0100010000,2
0001101110,2
0001011110,4
1110000011,4
0110100100,3
0010011011,2
0101000111,1
0010110011,2
0011000111,3
0111001111,1
1001101101,1
0000000000,1
1100100010,2
0010001000,2
1011011111,2
0110111000,3
1000100011,2
1101000011,2
0110000010,1
1001000011,1
1110111110,2
