,0
1100110000,4184
0000011100,4400
1001000100,4309
1110110111,2
0000000011,4332
1011000011,5
1000001011,4
1101001100,5
1111011111,7
0001110001,4
1101010011,5
0010011111,5
0101011101,3
1101000110,1
0110001100,4
1011111001,2
0010000101,6
1111001010,3
1010000011,3
0011100001,3
0011011001,5
0010101010,4
1011000000,2
1100110100,6
0010001100,6
1001010000,3
0101100110,1
0101110110,5
0001000110,5
0100101011,3
0100111101,5
1010000110,5
1000000110,7
0010110010,2
1100011000,4
1110101000,2
0101011110,4
1010101001,4
0101011111,4
0000100110,5
1000111110,4
1110110110,3
1010100010,4
1011110100,4
0011011000,4
0011100111,4
1001001100,7
1111001110,9
0011011100,4
0101000101,2
0000100011,4
0000110111,2
1001001101,7
0001010100,5
1010111100,7
0110010010,5
1010011100,2
0001001110,3
0010011100,2
1011110101,3
0111000011,4
0111100110,6
1000011100,2
1000111111,2
0000110101,6
0001111010,4
1110110101,4
0010011001,4
1010010001,5
1000110000,1
1001000110,4
1100010100,6
1000100010,2
0011001010,7
0001011100,4
0000100010,4
0000000111,5
0110000111,1
1100000111,3
0000100001,3
1011101010,2
0100101010,2
0111110100,4
1010111101,2
0000010100,2
0010001110,3
1000100100,3
0010101100,7
1111111011,6
0001101011,3
1001111110,1
0100100000,5
1101110101,3
1111011110,1
0010100100,2
0100111110,5
0101100100,2
1110001010,5
1001000001,3
0010000010,1
1111100011,4
1011101011,5
0111010010,3
0111111100,3
1101101101,8
1001101000,4
1110000100,4
1110010111,2
1101100110,6
0001001010,2
0010110111,3
0110111100,8
1110101011,4
1010111001,4
1001110100,2
1010000111,4
1011111011,7
0110110011,3
0100111010,3
0110110010,4
0000101010,2
0101111001,5
0110111011,2
1100111011,5
0001010111,2
0100111111,1
1001111101,5
1111110011,6
0111010000,1
1000010000,4
0011101101,3
0111011110,5
0101001011,3
0001111000,1
0111001001,2
0001101010,3
0110110001,7
0000010110,5
1101100101,6
0101011000,4
0111100000,2
1111100001,3
1100001010,5
1011101101,4
0111100010,2
